2202017,,,
2232017,150,2000,9
3242017,,,
3302017,150,2000,9
4052017,,,
4122017,150,2000,10
4152017,150,2000,10
4192017,150,2000,10
4242017,160,2000,10
5182017,120,800,9
5232017,120,800,9
5252017,150,800,9
5272017,,,
5282017,150,2000,10
5312017,150,2000,10
6022017,160,3000,10
6202017,170,3000,9
7192017,160,2000,9
7222017,170,2000,9
7262017,,,
7282017,,,
8152017,170,2000,10
8172017,120,800,9
8242017,150,2000,9
8282017,150,2000,9
8312017,150,2000,10
9032017,,,
9062017,170,4000,10
9222017,150,2000,9
9252017,150,2000,9
9272017,150,800,9
10032017,160,2000,10
10052017,,,
10102017,160,2000,10
10132017,160,2000,10
10162017,160,2000,9
10182017,150,3000,9
10232017,150,2000,10
10272017,160,2000,9
10312017,150,800,9
11032017,150,2000,10
11062017,150,2000,10
11102017,160,3000,10
11152017,150,2000,9
12012017,150,800,9
5312018,,,
6012018,,,
6082018,,,
6132018,170,1000,9
6212018,170,1000,9
6232018,170,1000,10
6262018,150,2000,9
6282018,,,
7012018,,,
7032018,,,
7252018,,,
7272018,150,2000,10
7292018,,,
7312018,120,2000,9
8022018,150,4000,10
8062018,150,2000,10
8082018,,,
8102018,150,2000,10
8132018,150,2000,10
8152018,150,800,9
8172018,150,2000,9
8202018,150,2000,9
8222018,160,2000,9
8242018,120,800,9
8262018,120,800,9
8282018,,,
8302018,,,
9022018,,,
9042018,,,
9052018,,,
9072018,,,
9162018,150,3000,9
9262018,150,2000,9
9282018,150,2000,9
10032018,120,800,9
10052018,120,800,9
12292018,150,4000,9
1032019,120,2800,9
1052019,,,
1072019,,,
1112019,,,
1142019,,,
2012019,170,5000,9
2082019,160,2000,10
2162019,120,3000,9
2182019,,,
2212019,120,2800,9
4152019,150,3000,9
4232019,,,
4242019,,,
4252019,150,3000,9
5072019,120,3000,9
5292019,120,2800,9
6022019,150,3000,9
6052019,150,4000,9
6152019,,,
9112019,150,3000,9
