309,525
321,625
404,659
430,518
438,608
476,551
557,609
558,587
560,628
567,535
567,544
571,610
572,599
573,632
576,622
577,558
578,640
584,519
585,605
586,647
595,511
595,617
599,551
600,521
600,671
602,602
604,512
608,503
613,653
616,601
619,644
620,575
620,660
623,630
624,502
624,554
629,525
630,668
631,615
637,542
639,590
643,607
643,654
646,499
647,549
649,521
654,547
655,671
656,499
656,627
664,499
664,634
666,680
669,576
675,578
678,659
683,507
683,602
690,588
690,616
691,562
693,511
693,552
695,544
701,518
701,621
702,528
704,534
709,656
712,527
713,584
716,535
721,597
721,623
722,546
723,610
727,554
730,568
